NPs,Coating,Core_size,Shape,Dose,Type(Gram( +/-),Class,Family,Species,Duration,ZOI
NiO,uncoated,20.0,quasi-spherical,10.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,21.0
NiO,uncoated,20.0,quasi-spherical,10.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,20.0
NiO,uncoated,20.0,quasi-spherical,10.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,21.0
NiO,uncoated,20.0,quasi-spherical,10.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,23.0
NiO,uncoated,16.0,tetragonal,20.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,14.7
NiO,uncoated,16.0,tetragonal,20.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,18.3
NiO,uncoated,16.0,tetragonal,20.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,13.7
NiO,uncoated,16.0,tetragonal,20.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,14.3
NiO,uncoated,28.0,tetragonal,20.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,8.7
NiO,uncoated,28.0,tetragonal,20.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,13.7
NiO,uncoated,28.0,tetragonal,20.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,11.5
NiO,uncoated,28.0,tetragonal,20.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,10.5
NiO,uncoated,58.0,irregular,2000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,13.2
NiO,uncoated,58.0,irregular,2000.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,9.2
NiO,uncoated,58.0,irregular,2000.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,15.2
NiO,uncoated,58.0,irregular,2000.0,p,Bacilli,Bacillaceae,Bacillus licheniformis,24.0,12.6
NiO,uncoated,59.0,irregular,4000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,18.3
NiO,uncoated,60.0,irregular,4000.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,11.6
NiO,uncoated,61.0,irregular,4000.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,24.1
NiO,uncoated,62.0,irregular,4000.0,p,Bacilli,Bacillaceae,Bacillus licheniformis,24.0,18.5
NiO,uncoated,63.0,irregular,8000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,22.1
NiO,uncoated,64.0,irregular,8000.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,15.9
NiO,uncoated,65.0,irregular,8000.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,28.1
NiO,uncoated,66.0,irregular,8000.0,p,Bacilli,Bacillaceae,Bacillus licheniformis,24.0,26.9
NiO,coated,39.0,platelet,50.0,p,Bacilli,Bacillaceae,Bacillus cereus,24.0,21.6
NiO,coated,39.0,platelet,50.0,n,Gammaproteobacteria,Yersiniaceae,Serratia marcescens,24.0,22.0
NiO,coated,45.0,platelet,50.0,p,Bacilli,Bacillaceae,Bacillus cereus,24.0,18.2
NiO,coated,45.0,platelet,50.0,n,Gammaproteobacteria,Yersiniaceae,Serratia marcescens,24.0,19.3
NiO,coated,61.0,platelet,50.0,p,Bacilli,Bacillaceae,Bacillus cereus,24.0,18.0
NiO,coated,61.0,platelet,50.0,n,Gammaproteobacteria,Yersiniaceae,Serratia marcescens,24.0,21.0
NiO,uncoated,20.0,spherical,50.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,16.0
NiO,uncoated,21.0,spherical,50.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,14.0
NiO,uncoated,30.0,spherical,20.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.0
NiO,uncoated,30.0,spherical,30.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,11.0
NiO,uncoated,30.0,spherical,40.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,13.5
NiO,uncoated,30.0,spherical,20.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,13.0
NiO,uncoated,30.0,spherical,30.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,14.0
NiO,uncoated,30.0,spherical,40.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,15.0
NiO,uncoated,30.0,spherical,20.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,10.0
NiO,uncoated,30.0,spherical,30.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,10.0
NiO,uncoated,30.0,spherical,40.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,15.0
NiO,uncoated,30.0,spherical,20.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,9.0
NiO,uncoated,30.0,spherical,30.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,11.0
NiO,uncoated,30.0,spherical,40.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,13.0
NiO,uncoated,31.0,asymmetrical,500.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,3.0
NiO,uncoated,13.5,rhombohedral,100.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,13.8
NiO,uncoated,32.0,cubic,5000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,12.0
TiO2,coated,18.0,irregular,10000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,10.0
TiO2,coated,18.0,irregular,10000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,9.0
TiO2,coated,18.0,irregular,10000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,6.0
TiO2,coated,18.0,irregular,10000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,8.0
