Model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Linear Regression,0.10255687580266033,0.14356219924662278,6.463593343645182,-0.9576775595114727,4.7071040094659695,-0.5047728703504989
Ridge Regression,0.1192018652632261,0.13421648945428577,6.405855324580195,-0.9334457749615733,4.7040439818707025,-0.45594881442063295
Random Forest,0.4703935260758244,0.08133090610136971,4.971333332041114,-0.7396092636802548,3.404146829575633,-0.3263230921712708
Gradient Boosting,0.4832878525600952,0.11319630316064475,4.876332567931369,-0.679857861979148,3.323048312068722,-0.2701699356953582
XGBoost,0.48165066207135415,0.09922508508528964,4.901361784559562,-0.7301735407833384,3.3921467118263244,-0.28811073801625986
