ZOI
28.1
30.0
10.3
16.0
40.0
7.0
7.0
11.0
10.0
9.0
7.0
21.0
10.8
13.67
17.7
0.0
33.1
13.0
6.0
9.0
20.0
8.0
15.0
11.0
11.0
20.0
6.0
16.0
23.0
10.0
14.0
14.53
11.8
20.0
7.0
10.56
20.0
8.0
10.0
11.0
11.0
11.4
16.0
5.0
16.0
19.0
15.0
14.0
15.42
12.0
4.5
23.0
21.6
10.47
12.33
13.0
16.0
8.0
15.0
15.0
10.0
10.0
34.33
18.2
15.0
18.0
8.0
13.0
16.0
22.0
10.0
21.0
17.0
17.67
17.0
19.0
14.7
16.0
11.0
17.0
11.5
14.0
19.0
11.5
12.0
12.6
20.0
35.0
7.0
10.0
25.0
11.0
13.72
4.5
11.0
10.0
22.1
11.0
20.0
15.9
13.0
10.7
13.0
7.3
14.0
15.33
12.5
5.6
17.0
19.0
8.33
10.0
7.0
11.0
12.0
25.0
14.0
16.0
7.0
13.5
18.0
10.0
6.0
11.6
43.6
13.0
12.0
12.0
10.0
22.0
7.0
14.0
16.0
8.0
13.0
14.0
12.0
12.5
17.26
22.5
13.0
35.4
11.0
11.0
8.0
13.0
10.5
31.98
18.0
12.0
5.0
4.5
16.0
13.0
15.0
23.5
42.8
24.0
15.2
10.0
8.0
21.0
15.0
11.0
10.5
13.0
11.0
13.0
10.0
7.0
7.0
9.0
7.0
18.3
18.5
12.0
26.0
5.0
16.0
22.0
11.0
11.0
23.5
12.0
23.0
19.0
42.8
33.6
19.0
21.0
9.0
15.0
8.0
26.0
10.0
12.0
29.0
12.8
11.0
25.0
10.0
16.0
6.0
17.6
10.0
12.0
14.3
17.0
10.5
15.0
3.0
19.0
10.0
12.0
18.0
13.0
15.0
16.0
5.8
14.0
18.0
8.5
22.5
11.0
33.9
27.0
10.0
23.0
12.0
11.0
14.0
13.0
10.33
8.56
16.0
34.5
19.3
11.0
12.0
22.0
6.3
20.0
13.0
11.0
6.0
15.0
30.0
18.0
19.0
14.0
18.0
9.5
9.0
15.0
20.0
11.0
15.67
12.0
18.0
6.0
24.0
11.9
17.0
19.0
13.8
21.0
22.0
6.0
9.0
6.62
12.0
22.28
5.0
12.0
12.5
5.5
20.0
27.0
15.0
7.0
7.9
9.0
18.0
6.9
6.5
19.0
12.0
12.0
20.0
9.0
12.0
10.0
17.0
16.7
12.0
26.0
9.0
9.0
12.0
9.33
10.9
2.5
7.0
13.3
12.0
27.0
9.0
10.0
11.0
14.83
20.0
7.8
10.0
23.0
20.0
42.8
17.0
8.0
21.0
10.0
13.0
21.0
14.0
18.0
19.0
10.0
13.0
19.0
15.0
18.0
8.0
8.5
14.3
12.0
18.0
11.0
11.0
17.0
17.0
9.0
14.0
9.0
9.0
17.0
10.5
7.0
9.0
13.7
16.0
23.0
20.0
26.0
10.2
13.0
10.0
5.0
14.0
12.0
12.0
8.0
15.0
28.0
30.0
25.0
9.0
12.0
18.0
12.0
12.0
12.0
6.0
13.0
12.0
7.0
15.0
10.0
12.0
8.7
15.0
18.0
16.0
13.0
12.0
10.0
10.0
8.67
12.67
9.0
3.5
21.0
13.0
13.0
9.5
0.0
11.6
18.3
8.0
17.0
10.0
14.0
