Feature,Mean_Abs_SHAP,Rank
Dose_log,1.9874096285006786,1
Core_size_log,1.1484500094558057,2
NPs,0.8791363031800762,3
Species,0.6183766045681477,4
Shape,0.5023326075724669,5
Family,0.4952555746756117,6
Duration,0.42913009975949096,7
Coating,0.08033465438219688,8
Class,0.053567111898749936,9
Type(Gram( +/-),0.01823608024358766,10
